,ID,Year,Mo,Da,Hr,Mi,Sec,X,Y,Z,MHEL,Detection,ERR1,ERR2,AZIM,ERRZ
0,596,2018,6,4,12,38,34.774,25491062.78,6675869.043,-6219,-0.04,0,34,20,153,35
1,100002,2018,6,4,15,46,6.753,25491113.07,6675778.364,-6239,-0.26,0,36,14,146,26
2,0,2018,6,4,15,46,6.817,25491081,6675702,-6087,-0.3,1,999999,999999,999999,999999
3,599,2018,6,4,18,1,26.547,25490755.24,6675434.781,-5671,-0.29,0,40,10,94,26
4,600,2018,6,4,18,31,26.59,25490819.05,6675346.66,-5679,-0.8,0,22,13,48,29
5,0,2018,6,4,18,37,34.763,25491081,6675702,-6087,-1,1,999999,999999,999999,999999
6,0,2018,6,4,18,40,8.084,25491081,6675702,-6087,-0.67,1,999999,999999,999999,999999
7,0,2018,6,4,19,4,57.015,25491081,6675702,-6087,-1.13,1,999999,999999,999999,999999
8,602,2018,6,4,19,6,31.257,25490831.68,6675537.255,-5787,-0.74,0,68,21,97,38
9,0,2018,6,4,19,51,37.251,25491081,6675702,-6087,-1.28,1,999999,999999,999999,999999
10,0,2018,6,4,20,12,22.286,25491081,6675702,-6087,-0.91,1,999999,999999,999999,999999
11,0,2018,6,4,20,22,24.772,25491081,6675702,-6087,-0.71,1,999999,999999,999999,999999
12,0,2018,6,4,20,34,43.276,25491081,6675702,-6087,-1.24,1,999999,999999,999999,999999
13,0,2018,6,4,20,40,49.675,25491081,6675702,-6087,-1.02,1,999999,999999,999999,999999
14,0,2018,6,4,20,44,2.728,25491081,6675702,-6087,-1.13,1,999999,999999,999999,999999
15,0,2018,6,4,20,44,48.705,25491081,6675702,-6087,-1.03,1,999999,999999,999999,999999
16,0,2018,6,4,20,46,54.018,25491081,6675702,-6087,-1.13,1,999999,999999,999999,999999
17,0,2018,6,4,20,51,52.047,25491081,6675702,-6087,-1.16,1,999999,999999,999999,999999
18,0,2018,6,4,20,53,21.786,25491081,6675702,-6087,-0.96,1,999999,999999,999999,999999
19,0,2018,6,4,20,53,45.088,25491081,6675702,-6087,-1.33,1,999999,999999,999999,999999
20,0,2018,6,4,20,56,9.47,25491081,6675702,-6087,-1.16,1,999999,999999,999999,999999
21,0,2018,6,4,20,56,40.152,25491081,6675702,-6087,-1.16,1,999999,999999,999999,999999
22,611,2018,6,4,20,57,25.92,25491027.34,6675675.445,-6138,-0.73,0,27,14,106,27
23,0,2018,6,4,20,59,2.378,25491081,6675702,-6087,-0.89,1,999999,999999,999999,999999
24,0,2018,6,4,21,1,38.05,25491081,6675702,-6087,-1.22,1,999999,999999,999999,999999
25,0,2018,6,4,21,3,4.586,25491081,6675702,-6087,-1.21,1,999999,999999,999999,999999
26,0,2018,6,4,21,4,33.003,25491081,6675702,-6087,-1.37,1,999999,999999,999999,999999
27,0,2018,6,4,21,5,38.619,25491081,6675702,-6087,-1.01,1,999999,999999,999999,999999
28,0,2018,6,4,21,6,36.075,25491081,6675702,-6087,-0.98,1,999999,999999,999999,999999
29,0,2018,6,4,21,9,26.709,25491081,6675702,-6087,-1.18,1,999999,999999,999999,999999
30,0,2018,6,4,21,9,56.329,25491081,6675702,-6087,-0.86,1,999999,999999,999999,999999
31,0,2018,6,4,21,10,58.111,25491081,6675702,-6087,-1.04,1,999999,999999,999999,999999
32,0,2018,6,4,21,14,20.885,25491081,6675702,-6087,-1.17,1,999999,999999,999999,999999
33,0,2018,6,4,21,14,55.231,25491081,6675702,-6087,-1.15,1,999999,999999,999999,999999
34,0,2018,6,4,21,15,35.773,25491081,6675702,-6087,-1.23,1,999999,999999,999999,999999
35,0,2018,6,4,21,17,34.197,25491081,6675702,-6087,-0.96,1,999999,999999,999999,999999
36,0,2018,6,4,21,19,14.025,25491081,6675702,-6087,-1.18,1,999999,999999,999999,999999
37,0,2018,6,4,21,22,24.408,25491081,6675702,-6087,-0.87,1,999999,999999,999999,999999
38,0,2018,6,4,21,23,7.547,25491081,6675702,-6087,-0.94,1,999999,999999,999999,999999
39,0,2018,6,4,21,25,15.972,25491081,6675702,-6087,-0.99,1,999999,999999,999999,999999
40,0,2018,6,4,21,26,31.4,25491081,6675702,-6087,-1.02,1,999999,999999,999999,999999
41,0,2018,6,4,21,27,1.908,25491081,6675702,-6087,-1.2,1,999999,999999,999999,999999
42,0,2018,6,4,21,27,53.357,25491081,6675702,-6087,-1.1,1,999999,999999,999999,999999
43,0,2018,6,4,21,31,3.921,25491081,6675702,-6087,-0.68,1,999999,999999,999999,999999
44,0,2018,6,4,21,34,34.998,25491081,6675702,-6087,-0.62,1,999999,999999,999999,999999
45,0,2018,6,4,21,35,7.046,25491081,6675702,-6087,-1.02,1,999999,999999,999999,999999
46,0,2018,6,4,21,36,33.062,25491081,6675702,-6087,-1.3,1,999999,999999,999999,999999
47,0,2018,6,4,21,37,2.04,25491081,6675702,-6087,-1.02,1,999999,999999,999999,999999
48,0,2018,6,4,21,38,39.497,25491081,6675702,-6087,-1.27,1,999999,999999,999999,999999
49,0,2018,6,4,21,42,28.293,25491081,6675702,-6087,-1.25,1,999999,999999,999999,999999
50,0,2018,6,4,21,46,29.875,25491081,6675702,-6087,-1.09,1,999999,999999,999999,999999
51,0,2018,6,4,21,46,52.381,25491081,6675702,-6087,-1.12,1,999999,999999,999999,999999
52,0,2018,6,4,21,48,44.642,25491081,6675702,-6087,-1.21,1,999999,999999,999999,999999
53,0,2018,6,4,21,49,47.399,25491081,6675702,-6087,-0.97,1,999999,999999,999999,999999
54,0,2018,6,4,21,51,10.652,25491081,6675702,-6087,-1.15,1,999999,999999,999999,999999
55,0,2018,6,4,21,54,16.429,25491081,6675702,-6087,-1.06,1,999999,999999,999999,999999
56,0,2018,6,4,21,55,59.408,25491081,6675702,-6087,-1.26,1,999999,999999,999999,999999
57,0,2018,6,4,22,4,6.469,25491081,6675702,-6087,-1.16,1,999999,999999,999999,999999
58,0,2018,6,4,22,5,4.059,25491081,6675702,-6087,-0.87,1,999999,999999,999999,999999
59,0,2018,6,4,22,5,18.745,25491081,6675702,-6087,-1.22,1,999999,999999,999999,999999
60,0,2018,6,4,22,5,34.693,25491081,6675702,-6087,-1.09,1,999999,999999,999999,999999
61,0,2018,6,4,22,6,53.539,25491081,6675702,-6087,-1.15,1,999999,999999,999999,999999
62,0,2018,6,4,22,7,17.368,25491081,6675702,-6087,-0.59,1,999999,999999,999999,999999
63,631,2018,6,4,22,9,12.974,25491159.8,6675987.317,-6232,-0.69,0,124,38,152,42
64,0,2018,6,4,22,11,8.788,25491081,6675702,-6087,-0.85,1,999999,999999,999999,999999
65,0,2018,6,4,22,13,18.115,25491081,6675702,-6087,-0.99,1,999999,999999,999999,999999
66,634,2018,6,4,22,14,4.935,25491141.44,6675668.435,-5966,-0.52,0,38,21,169,34
67,0,2018,6,4,22,14,40.252,25491081,6675702,-6087,-1.29,1,999999,999999,999999,999999
68,0,2018,6,4,22,15,35.343,25491081,6675702,-6087,-1.3,1,999999,999999,999999,999999
69,0,2018,6,4,22,18,24.58,25491081,6675702,-6087,-0.99,1,999999,999999,999999,999999
70,0,2018,6,4,22,19,39.96,25491081,6675702,-6087,-0.71,1,999999,999999,999999,999999
71,0,2018,6,4,22,19,59.291,25491081,6675702,-6087,-1.16,1,999999,999999,999999,999999
72,0,2018,6,4,22,20,46.017,25491081,6675702,-6087,-1.36,1,999999,999999,999999,999999
73,0,2018,6,4,22,23,40.73,25491081,6675702,-6087,-1.36,1,999999,999999,999999,999999
74,0,2018,6,4,22,25,24.423,25491081,6675702,-6087,-1.33,1,999999,999999,999999,999999
75,0,2018,6,4,22,27,11.609,25491081,6675702,-6087,-1.16,1,999999,999999,999999,999999
